,canon_smiles,anchors,canon_anchors,local_to_canon
12,[CH]1C=NC=CC1,"[[0], [1], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{4: 4, 5: 5, 0: 0, 1: 1, 2: 2, 3: 3}"
13,C1CCCCC1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0], [0, 1]]","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}"
14,CS,"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
15,CCl,[[0]],[[0]],"{0: 0, 1: 1}"
16,C[O-],"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
17,c1ccsc1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [2], [2, 1], [2, 3], [0], [3, 2], [3]]","{0: 0, 4: 2, 3: 3, 2: 2, 1: 0}"
18,C[NH+],"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
19,[C][NH+],"[[0], [1]]","[[0], [1]]","{1: 1, 0: 0}"
20,[C]C,"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
21,[C][CH],"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
22,CBr,[[0]],[[0]],"{0: 0, 1: 1}"
23,[CH]N,"[[0], [1]]","[[0], [1]]","{1: 1, 0: 0}"
24,C=N,"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
25,NO,"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
26,c1nc[nH]n1,"[[0], [2], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [2, 3], [1, 0], [0], [3, 2]]","{1: 1, 0: 0, 4: 4, 3: 3, 2: 2}"
27,c1ccncc1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2]]","{0: 0, 1: 1, 2: 2, 3: 3, 4: 2, 5: 1}"
28,[CH]1C=CNC=C1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{1: 1, 2: 2, 3: 3, 4: 2, 5: 1, 0: 0}"
29,C1=CCCCC1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2], [2, 1], [3, 4], [2, 3], [0], [3, 2], [3]]","{2: 2, 3: 3, 4: 3, 5: 2, 0: 0, 1: 0}"
30,c1cncnc1,"[[0], [1], [3], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{2: 2, 3: 3, 4: 2, 5: 1, 0: 0, 1: 1}"
31,[CH]S,"[[0], [1]]","[[0], [1]]","{1: 1, 0: 0}"
32,C1=CCNCC1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{4: 4, 5: 5, 0: 0, 1: 1, 2: 2, 3: 3}"
33,C1=CCCC1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [2], [2, 1], [2, 3], [0], [3, 2], [3]]","{2: 2, 3: 3, 4: 2, 0: 0, 1: 0}"
34,C1CCNCC1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{2: 2, 1: 1, 0: 0, 5: 1, 4: 2, 3: 3}"
35,[CH]1CCNC1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{1: 1, 2: 2, 3: 3, 4: 4, 0: 0}"
36,[CH]1CCCO1,"[[0], [1], [2], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{1: 1, 0: 0, 4: 4, 3: 3, 2: 2}"
37,C1COCCN1,"[[0], [1], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2, 1], [5], [5, 4], [1], [1, 0], [4, 5], [0]]","{0: 0, 1: 1, 2: 2, 3: 1, 4: 0, 5: 5}"
38,C=S,"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
39,[CH][NH2+],[[0]],[[0]],"{0: 0, 1: 1}"
40,c1cscn1,"[[0], [1], [2], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{4: 4, 3: 3, 2: 2, 1: 1, 0: 0}"
41,[CH]1[CH]CNC1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [2], [2, 1], [2, 3], [0], [3, 2], [3]]","{2: 2, 3: 3, 4: 2, 0: 0, 1: 0}"
42,[CH]1[CH]CC=CC1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2], [2, 1], [3, 4], [2, 3], [0], [3, 2], [3]]","{2: 2, 3: 3, 4: 3, 5: 2, 0: 0, 1: 0}"
43,NS,"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
44,O=S,[[1]],[[1]],"{1: 1, 0: 0}"
45,C1CNCCN1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2], [2, 1], [0]]","{2: 2, 3: 0, 4: 0, 5: 2, 0: 0, 1: 0}"
46,C1CC1,"[[0], [1], [2], [0, 1], [1, 0], [1, 2], [2, 1], [2, 0], [0, 2]]","[[0], [0, 1]]","{0: 0, 1: 0, 2: 0}"
47,[C]1[CH]C1,"[[0], [1], [2], [0, 1], [1, 0], [1, 2], [2, 1], [2, 0], [0, 2]]","[[0, 1], [2], [1, 2], [2, 1], [2, 0], [1], [1, 0], [0, 2], [0]]","{2: 2, 1: 1, 0: 0}"
48,[C]1C=CCC1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{4: 4, 0: 0, 1: 1, 2: 2, 3: 3}"
49,[CH]1[CH]OCC1,"[[0], [1], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [4, 0], [2, 1], [3, 4], [4, 3], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{4: 4, 0: 0, 1: 1, 2: 2, 3: 3}"
50,C=C,"[[0], [1]]",[[0]],"{0: 0, 1: 0}"
51,C1=CN=NC1,"[[0], [1], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [4, 0], [2, 1], [3, 4], [4, 3], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2]]","{1: 1, 0: 0, 4: 4, 3: 3, 2: 2}"
52,C1=CNNC1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{4: 4, 0: 0, 1: 1, 2: 2, 3: 3}"
53,c1ccnnc1,"[[0], [1], [2], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2], [2, 1], [3, 4], [2, 3], [0], [3, 2]]","{0: 0, 1: 0, 2: 2, 3: 3, 4: 3, 5: 2}"
54,[CH][NH+],"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
55,[CH]1CCOC1,"[[0], [1], [2], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2]]","{1: 1, 0: 0, 4: 4, 3: 3, 2: 2}"
56,C1CCC1,"[[0], [1], [2], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 0], [0, 3]]","[[0], [0, 1]]","{0: 0, 1: 0, 2: 0, 3: 0}"
57,[CH]1[CH]COC1,"[[0], [1], [2], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [2], [2, 1], [2, 3], [0], [3, 2]]","{0: 0, 4: 2, 3: 3, 2: 2, 1: 0}"
58,C[NH2+],[[0]],[[0]],"{0: 0, 1: 1}"
59,[CH]1CCCCN1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{4: 4, 3: 3, 2: 2, 1: 1, 0: 0, 5: 5}"
60,[N+]=O,[[0]],[[0]],"{1: 1, 0: 0}"
61,[N+][O-],"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
62,C[N+],"[[0], [1]]","[[0], [1]]","{1: 1, 0: 0}"
63,[CH]1C=CCC1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{4: 4, 0: 0, 1: 1, 2: 2, 3: 3}"
64,c1nncs1,"[[0], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [3, 4], [4, 3], [4], [1, 0], [0]]","{1: 1, 0: 0, 4: 4, 3: 0, 2: 1}"
65,c1cc[nH+]cc1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2]]","{1: 1, 0: 0, 5: 1, 4: 2, 3: 3, 2: 2}"
66,[C]N,"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
67,c1cnoc1,"[[0], [1], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [4, 0], [2, 1], [3, 4], [4, 3], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2]]","{1: 1, 2: 2, 3: 3, 4: 4, 0: 0}"
68,c1ncon1,"[[0], [2], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [2, 3], [1, 0], [0], [3, 2]]","{1: 1, 2: 2, 3: 3, 4: 4, 0: 0}"
69,[CH]1CCCNC1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{0: 0, 5: 5, 4: 4, 3: 3, 2: 2, 1: 1}"
70,[CH]1CCSC1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{1: 1, 0: 0, 4: 4, 3: 3, 2: 2}"
71,c1nnco1,"[[0], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [3, 4], [4, 3], [1, 0], [0]]","{1: 1, 0: 0, 4: 4, 3: 0, 2: 1}"
72,[CH]1CNC=CO1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{1: 1, 0: 0, 5: 5, 4: 4, 3: 3, 2: 2}"
73,[CH]1CNOC1,"[[0], [1], [2], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2]]","{4: 4, 0: 0, 1: 1, 2: 2, 3: 3}"
74,[C]1CC[NH2+]C1,"[[0], [1], [2], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2]]","{1: 1, 0: 0, 4: 4, 3: 3, 2: 2}"
75,[CH]1C[CH]OC1,"[[0], [1], [2], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2]]","{0: 0, 4: 4, 3: 3, 2: 2, 1: 1}"
76,[CH][CH],"[[0], [1]]",[[0]],"{0: 0, 1: 0}"
77,C1=NCCN1,"[[0], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1, 0], [0], [3, 2], [3]]","{3: 3, 4: 4, 0: 0, 1: 1, 2: 2}"
78,C1=COCC1,"[[0], [1], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [4, 0], [2, 1], [3, 4], [4, 3], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{2: 2, 3: 3, 4: 4, 0: 0, 1: 1}"
79,C1CCOCC1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2]]","{1: 1, 2: 2, 3: 3, 4: 2, 5: 1, 0: 0}"
80,[CH]1[CH]CCCC1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2], [2, 1], [3, 4], [2, 3], [0], [3, 2], [3]]","{2: 2, 3: 3, 4: 3, 5: 2, 0: 0, 1: 0}"
81,[CH][NH3+],[[0]],[[0]],"{0: 0, 1: 1}"
82,C1CC[NH2+]CC1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2]]","{1: 1, 2: 2, 3: 3, 4: 2, 5: 1, 0: 0}"
83,C1C[NH+]CCN1,"[[0], [1], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2, 1], [5], [5, 4], [1], [1, 0], [4, 5], [0]]","{0: 0, 1: 1, 2: 2, 3: 1, 4: 0, 5: 5}"
84,[CH]1[CH][NH2+]CC1,"[[0], [1], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [4, 0], [2, 1], [3, 4], [4, 3], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{4: 4, 0: 0, 1: 1, 2: 2, 3: 3}"
85,C1CC[NH+]C1,"[[0], [1], [2], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [2], [2, 1], [2, 3], [0], [3, 2]]","{2: 2, 3: 3, 4: 2, 0: 0, 1: 0}"
86,c1cocn1,"[[0], [1], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [4, 0], [2, 1], [3, 4], [4, 3], [0, 4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{4: 4, 3: 3, 2: 2, 1: 1, 0: 0}"
87,[CH]1CCCN1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{1: 1, 0: 0, 4: 4, 3: 3, 2: 2}"
88,[CH]1[CH][NH2+]CCC1,"[[0], [1], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{5: 5, 4: 4, 3: 3, 2: 2, 1: 1, 0: 0}"
89,[CH]1CNCCO1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{0: 0, 5: 5, 4: 4, 3: 3, 2: 2, 1: 1}"
90,[CH]1CNCCN1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{0: 0, 5: 5, 4: 4, 3: 3, 2: 2, 1: 1}"
91,[CH]1[CH]C1,"[[0], [1], [2], [0, 1], [1, 0], [1, 2], [2, 1], [2, 0], [0, 2]]","[[0, 1], [1, 2], [2], [2, 1], [0]]","{2: 2, 0: 0, 1: 0}"
92,C1CCSCC1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{1: 1, 2: 2, 3: 3, 4: 2, 5: 1, 0: 0}"
93,C1CCCC1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0], [0, 1]]","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
94,C1CC[NH+]CC1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2]]","{0: 0, 1: 1, 2: 2, 3: 3, 4: 2, 5: 1}"
95,c1cnccn1,"[[0], [1], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0], [1, 2], [2, 1], [0, 1]]","{2: 2, 3: 0, 4: 0, 5: 2, 0: 0, 1: 0}"
96,NN,"[[0], [1]]",[[0]],"{0: 0, 1: 0}"
97,C1CNCNC1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{1: 1, 0: 0, 5: 1, 4: 2, 3: 3, 2: 2}"
98,c1cn[nH]c1,"[[0], [1], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [4, 0], [2, 1], [3, 4], [4, 3], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2]]","{1: 1, 0: 0, 4: 4, 3: 3, 2: 2}"
99,[CH]1[CH]O1,"[[0], [1], [0, 1], [1, 0], [1, 2], [2, 1], [2, 0], [0, 2]]","[[0], [1, 2], [2, 1], [0, 1]]","{0: 0, 2: 2, 1: 0}"
100,[CH]1C=CO[CH]C1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2]]","{0: 0, 5: 5, 4: 4, 3: 3, 2: 2, 1: 1}"
101,[CH]1NC=CCN1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{4: 4, 5: 5, 0: 0, 1: 1, 2: 2, 3: 3}"
