,smiles,anchors
383,[CH]1C=CCC1,"[0]"
384,[CH]1C=CCC1,"[3, 2]"
385,[CH]1C=CCC1,"[3]"
386,c1nncs1,"[0, 1]"
387,c1nncs1,"[1, 2]"
388,c1nncs1,"[3, 4]"
389,c1nncs1,"[4, 3]"
390,c1nncs1,"[4]"
391,c1nncs1,"[1, 0]"
392,c1nncs1,"[0]"
393,c1cc[nH+]cc1,"[0, 1]"
394,c1cc[nH+]cc1,"[2]"
395,c1cc[nH+]cc1,"[1, 2]"
396,c1cc[nH+]cc1,"[2, 1]"
397,c1cc[nH+]cc1,"[2, 3]"
398,c1cc[nH+]cc1,"[1]"
399,c1cc[nH+]cc1,"[1, 0]"
400,c1cc[nH+]cc1,"[0]"
401,c1cc[nH+]cc1,"[3, 2]"
402,[C]N,"[0]"
403,[C]N,"[1]"
404,c1cnoc1,"[0, 1]"
405,c1cnoc1,"[1, 2]"
406,c1cnoc1,"[4, 0]"
407,c1cnoc1,"[2, 1]"
408,c1cnoc1,"[3, 4]"
409,c1cnoc1,"[4, 3]"
410,c1cnoc1,"[0, 4]"
411,c1cnoc1,"[4]"
412,c1cnoc1,"[2, 3]"
413,c1cnoc1,"[1]"
414,c1cnoc1,"[1, 0]"
415,c1cnoc1,"[0]"
416,c1cnoc1,"[3, 2]"
417,c1ncon1,"[0, 1]"
418,c1ncon1,"[1, 2]"
419,c1ncon1,"[2]"
420,c1ncon1,"[2, 1]"
421,c1ncon1,"[3, 4]"
422,c1ncon1,"[4, 3]"
423,c1ncon1,"[4, 0]"
424,c1ncon1,"[0, 4]"
425,c1ncon1,"[2, 3]"
426,c1ncon1,"[1, 0]"
427,c1ncon1,"[0]"
428,c1ncon1,"[3, 2]"
429,[CH]1CCCNC1,"[0, 1]"
430,[CH]1CCCNC1,"[2]"
431,[CH]1CCCNC1,"[1, 2]"
432,[CH]1CCCNC1,"[2, 1]"
433,[CH]1CCCNC1,"[3, 4]"
434,[CH]1CCCNC1,"[5]"
435,[CH]1CCCNC1,"[4, 3]"
436,[CH]1CCCNC1,"[5, 4]"
437,[CH]1CCCNC1,"[4]"
438,[CH]1CCCNC1,"[2, 3]"
439,[CH]1CCCNC1,"[1]"
440,[CH]1CCCNC1,"[1, 0]"
441,[CH]1CCCNC1,"[4, 5]"
442,[CH]1CCCNC1,"[5, 0]"
443,[CH]1CCCNC1,"[0, 5]"
444,[CH]1CCCNC1,"[0]"
445,[CH]1CCCNC1,"[3, 2]"
446,[CH]1CCCNC1,"[3]"
447,[CH]1CCSC1,"[0, 1]"
448,[CH]1CCSC1,"[2]"
449,[CH]1CCSC1,"[1, 2]"
450,[CH]1CCSC1,"[2, 1]"
451,[CH]1CCSC1,"[3, 4]"
452,[CH]1CCSC1,"[4, 3]"
453,[CH]1CCSC1,"[4, 0]"
454,[CH]1CCSC1,"[0, 4]"
455,[CH]1CCSC1,"[4]"
456,[CH]1CCSC1,"[2, 3]"
457,[CH]1CCSC1,"[1]"
458,[CH]1CCSC1,"[1, 0]"
459,[CH]1CCSC1,"[0]"
460,[CH]1CCSC1,"[3, 2]"
461,[CH]1CCSC1,"[3]"
462,c1nnco1,"[0, 1]"
463,c1nnco1,"[1, 2]"
464,c1nnco1,"[3, 4]"
465,c1nnco1,"[4, 3]"
466,c1nnco1,"[1, 0]"
467,c1nnco1,"[0]"
468,[CH]1CNC=CO1,"[0, 1]"
469,[CH]1CNC=CO1,"[2]"
470,[CH]1CNC=CO1,"[1, 2]"
471,[CH]1CNC=CO1,"[2, 1]"
472,[CH]1CNC=CO1,"[3, 4]"
473,[CH]1CNC=CO1,"[4, 3]"
474,[CH]1CNC=CO1,"[5, 4]"
475,[CH]1CNC=CO1,"[4]"
476,[CH]1CNC=CO1,"[2, 3]"
477,[CH]1CNC=CO1,"[1]"
478,[CH]1CNC=CO1,"[1, 0]"
479,[CH]1CNC=CO1,"[4, 5]"
480,[CH]1CNC=CO1,"[5, 0]"
481,[CH]1CNC=CO1,"[0, 5]"
482,[CH]1CNC=CO1,"[0]"
483,[CH]1CNC=CO1,"[3, 2]"
484,[CH]1CNC=CO1,"[3]"
485,[CH]1CNOC1,"[0, 1]"
486,[CH]1CNOC1,"[2]"
487,[CH]1CNOC1,"[1, 2]"
488,[CH]1CNOC1,"[2, 1]"
489,[CH]1CNOC1,"[3, 4]"
490,[CH]1CNOC1,"[4, 3]"
491,[CH]1CNOC1,"[4, 0]"
492,[CH]1CNOC1,"[0, 4]"
493,[CH]1CNOC1,"[4]"
494,[CH]1CNOC1,"[2, 3]"
495,[CH]1CNOC1,"[1]"
496,[CH]1CNOC1,"[1, 0]"
497,[CH]1CNOC1,"[0]"
498,[CH]1CNOC1,"[3, 2]"
499,[C]1CC[NH2+]C1,"[0, 1]"
500,[C]1CC[NH2+]C1,"[2]"
501,[C]1CC[NH2+]C1,"[1, 2]"
502,[C]1CC[NH2+]C1,"[2, 1]"
503,[C]1CC[NH2+]C1,"[3, 4]"
504,[C]1CC[NH2+]C1,"[4, 3]"
505,[C]1CC[NH2+]C1,"[4, 0]"
506,[C]1CC[NH2+]C1,"[0, 4]"
507,[C]1CC[NH2+]C1,"[4]"
508,[C]1CC[NH2+]C1,"[2, 3]"
509,[C]1CC[NH2+]C1,"[1]"
510,[C]1CC[NH2+]C1,"[1, 0]"
511,[C]1CC[NH2+]C1,"[0]"
512,[C]1CC[NH2+]C1,"[3, 2]"
513,[CH]1C[CH]OC1,"[0, 1]"
514,[CH]1C[CH]OC1,"[2]"
515,[CH]1C[CH]OC1,"[1, 2]"
516,[CH]1C[CH]OC1,"[2, 1]"
517,[CH]1C[CH]OC1,"[3, 4]"
518,[CH]1C[CH]OC1,"[4, 3]"
519,[CH]1C[CH]OC1,"[4, 0]"
520,[CH]1C[CH]OC1,"[0, 4]"
521,[CH]1C[CH]OC1,"[4]"
522,[CH]1C[CH]OC1,"[2, 3]"
523,[CH]1C[CH]OC1,"[1]"
524,[CH]1C[CH]OC1,"[1, 0]"
525,[CH]1C[CH]OC1,"[0]"
526,[CH]1C[CH]OC1,"[3, 2]"
527,[CH][CH],"[0]"
528,C1=NCCN1,"[0, 1]"
529,C1=NCCN1,"[2]"
530,C1=NCCN1,"[1, 2]"
531,C1=NCCN1,"[2, 1]"
532,C1=NCCN1,"[3, 4]"
533,C1=NCCN1,"[4, 3]"
534,C1=NCCN1,"[4, 0]"
535,C1=NCCN1,"[0, 4]"
536,C1=NCCN1,"[4]"
537,C1=NCCN1,"[2, 3]"
538,C1=NCCN1,"[1, 0]"
539,C1=NCCN1,"[0]"
540,C1=NCCN1,"[3, 2]"
541,C1=NCCN1,"[3]"
542,C1=COCC1,"[0, 1]"
543,C1=COCC1,"[1, 2]"
544,C1=COCC1,"[4, 0]"
545,C1=COCC1,"[2, 1]"
546,C1=COCC1,"[3, 4]"
547,C1=COCC1,"[4, 3]"
548,C1=COCC1,"[0, 4]"
549,C1=COCC1,"[4]"
550,C1=COCC1,"[2, 3]"
551,C1=COCC1,"[1]"
552,C1=COCC1,"[1, 0]"
553,C1=COCC1,"[0]"
554,C1=COCC1,"[3, 2]"
555,C1=COCC1,"[3]"
556,C1CCOCC1,"[0, 1]"
557,C1CCOCC1,"[2]"
558,C1CCOCC1,"[1, 2]"
559,C1CCOCC1,"[2, 1]"
560,C1CCOCC1,"[2, 3]"
561,C1CCOCC1,"[1]"
562,C1CCOCC1,"[1, 0]"
563,C1CCOCC1,"[0]"
564,C1CCOCC1,"[3, 2]"
565,[CH]1[CH]CCCC1,"[0, 1]"
566,[CH]1[CH]CCCC1,"[1, 2]"
567,[CH]1[CH]CCCC1,"[2]"
568,[CH]1[CH]CCCC1,"[2, 1]"
569,[CH]1[CH]CCCC1,"[3, 4]"
570,[CH]1[CH]CCCC1,"[2, 3]"
571,[CH]1[CH]CCCC1,"[0]"
572,[CH]1[CH]CCCC1,"[3, 2]"
573,[CH]1[CH]CCCC1,"[3]"
574,[CH][NH3+],"[0]"
575,C1CC[NH2+]CC1,"[0, 1]"
576,C1CC[NH2+]CC1,"[2]"
577,C1CC[NH2+]CC1,"[1, 2]"
578,C1CC[NH2+]CC1,"[2, 1]"
579,C1CC[NH2+]CC1,"[2, 3]"
580,C1CC[NH2+]CC1,"[1]"
581,C1CC[NH2+]CC1,"[1, 0]"
582,C1CC[NH2+]CC1,"[0]"
583,C1CC[NH2+]CC1,"[3, 2]"
584,C1C[NH+]CCN1,"[0, 1]"
585,C1C[NH+]CCN1,"[1, 2]"
586,C1C[NH+]CCN1,"[2, 1]"
587,C1C[NH+]CCN1,"[5]"
588,C1C[NH+]CCN1,"[5, 4]"
589,C1C[NH+]CCN1,"[1]"
590,C1C[NH+]CCN1,"[1, 0]"
591,C1C[NH+]CCN1,"[4, 5]"
592,C1C[NH+]CCN1,"[0]"
593,[CH]1[CH][NH2+]CC1,"[0, 1]"
594,[CH]1[CH][NH2+]CC1,"[1, 2]"
595,[CH]1[CH][NH2+]CC1,"[4, 0]"
596,[CH]1[CH][NH2+]CC1,"[2, 1]"
597,[CH]1[CH][NH2+]CC1,"[3, 4]"
598,[CH]1[CH][NH2+]CC1,"[4, 3]"
599,[CH]1[CH][NH2+]CC1,"[0, 4]"
600,[CH]1[CH][NH2+]CC1,"[4]"
601,[CH]1[CH][NH2+]CC1,"[2, 3]"
602,[CH]1[CH][NH2+]CC1,"[1]"
603,[CH]1[CH][NH2+]CC1,"[1, 0]"
604,[CH]1[CH][NH2+]CC1,"[0]"
605,[CH]1[CH][NH2+]CC1,"[3, 2]"
606,[CH]1[CH][NH2+]CC1,"[3]"
607,C1CC[NH+]C1,"[0, 1]"
608,C1CC[NH+]C1,"[1, 2]"
609,C1CC[NH+]C1,"[2]"
610,C1CC[NH+]C1,"[2, 1]"
611,C1CC[NH+]C1,"[2, 3]"
612,C1CC[NH+]C1,"[0]"
613,C1CC[NH+]C1,"[3, 2]"
614,c1cocn1,"[0, 1]"
615,c1cocn1,"[1, 2]"
616,c1cocn1,"[4, 0]"
617,c1cocn1,"[2, 1]"
618,c1cocn1,"[3, 4]"
619,c1cocn1,"[4, 3]"
620,c1cocn1,"[0, 4]"
621,c1cocn1,"[2, 3]"
622,c1cocn1,"[1]"
623,c1cocn1,"[1, 0]"
624,c1cocn1,"[0]"
625,c1cocn1,"[3, 2]"
626,c1cocn1,"[3]"
627,[CH]1CCCN1,"[0, 1]"
628,[CH]1CCCN1,"[2]"
629,[CH]1CCCN1,"[1, 2]"
630,[CH]1CCCN1,"[2, 1]"
631,[CH]1CCCN1,"[3, 4]"
632,[CH]1CCCN1,"[4, 3]"
633,[CH]1CCCN1,"[4, 0]"
634,[CH]1CCCN1,"[0, 4]"
635,[CH]1CCCN1,"[4]"
636,[CH]1CCCN1,"[2, 3]"
637,[CH]1CCCN1,"[1]"
638,[CH]1CCCN1,"[1, 0]"
639,[CH]1CCCN1,"[0]"
640,[CH]1CCCN1,"[3, 2]"
641,[CH]1CCCN1,"[3]"
642,[CH]1[CH][NH2+]CCC1,"[0, 1]"
643,[CH]1[CH][NH2+]CCC1,"[1, 2]"
644,[CH]1[CH][NH2+]CCC1,"[2, 1]"
645,[CH]1[CH][NH2+]CCC1,"[3, 4]"
646,[CH]1[CH][NH2+]CCC1,"[5]"
647,[CH]1[CH][NH2+]CCC1,"[4, 3]"
648,[CH]1[CH][NH2+]CCC1,"[5, 4]"
649,[CH]1[CH][NH2+]CCC1,"[4]"
650,[CH]1[CH][NH2+]CCC1,"[2, 3]"
651,[CH]1[CH][NH2+]CCC1,"[1]"
652,[CH]1[CH][NH2+]CCC1,"[1, 0]"
653,[CH]1[CH][NH2+]CCC1,"[4, 5]"
654,[CH]1[CH][NH2+]CCC1,"[5, 0]"
655,[CH]1[CH][NH2+]CCC1,"[0, 5]"
656,[CH]1[CH][NH2+]CCC1,"[0]"
657,[CH]1[CH][NH2+]CCC1,"[3, 2]"
658,[CH]1[CH][NH2+]CCC1,"[3]"
659,[CH]1CNCCO1,"[0, 1]"
660,[CH]1CNCCO1,"[2]"
661,[CH]1CNCCO1,"[1, 2]"
662,[CH]1CNCCO1,"[2, 1]"
663,[CH]1CNCCO1,"[3, 4]"
664,[CH]1CNCCO1,"[4, 3]"
665,[CH]1CNCCO1,"[5, 4]"
666,[CH]1CNCCO1,"[4]"
667,[CH]1CNCCO1,"[2, 3]"
668,[CH]1CNCCO1,"[1]"
669,[CH]1CNCCO1,"[1, 0]"
670,[CH]1CNCCO1,"[4, 5]"
671,[CH]1CNCCO1,"[5, 0]"
672,[CH]1CNCCO1,"[0, 5]"
673,[CH]1CNCCO1,"[0]"
674,[CH]1CNCCO1,"[3, 2]"
675,[CH]1CNCCO1,"[3]"
676,[CH]1CNCCN1,"[0, 1]"
677,[CH]1CNCCN1,"[2]"
678,[CH]1CNCCN1,"[1, 2]"
